strict_id,source_task_id,source_split,source_array_index,subject_id,target_record_id,window_id,window_index,start_sample_500hz,end_sample_500hz_exclusive,dedup_key
D12_STRICT_0000000,task1,train,744,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W000,0,0,5000,d12_0100000d4f7822:0:5000
D12_STRICT_0000001,task1,train,745,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W001,1,5000,10000,d12_0100000d4f7822:5000:10000
D12_STRICT_0000002,task1,train,746,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W002,2,10000,15000,d12_0100000d4f7822:10000:15000
D12_STRICT_0000003,task1,train,747,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W003,3,15000,20000,d12_0100000d4f7822:15000:20000
D12_STRICT_0000004,task1,train,748,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W004,4,20000,25000,d12_0100000d4f7822:20000:25000
D12_STRICT_0000005,task1,train,749,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W005,5,25000,30000,d12_0100000d4f7822:25000:30000
D12_STRICT_0000006,task1,train,750,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W006,6,30000,35000,d12_0100000d4f7822:30000:35000
D12_STRICT_0000007,task1,train,751,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W007,7,35000,40000,d12_0100000d4f7822:35000:40000
D12_STRICT_0000008,task1,train,752,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W008,8,40000,45000,d12_0100000d4f7822:40000:45000
D12_STRICT_0000009,task1,train,753,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W009,9,45000,50000,d12_0100000d4f7822:45000:50000
D12_STRICT_0000010,task1,train,754,HNU11002,d12_0100000d4f7822,TASK1_2ec148189214eb_W010,10,50000,55000,d12_0100000d4f7822:50000:55000
D12_STRICT_0000011,task2,train,23,HNU11002,d12_0100000d4f7822,TASK2_f5340d4f89b895_W011,11,55000,60000,d12_0100000d4f7822:55000:60000
D12_STRICT_0000012,task1,train,425,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W000,0,0,5000,d12_01e19f08160eda:0:5000
D12_STRICT_0000013,task1,train,426,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W001,1,5000,10000,d12_01e19f08160eda:5000:10000
D12_STRICT_0000014,task1,train,427,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W002,2,10000,15000,d12_01e19f08160eda:10000:15000
D12_STRICT_0000015,task1,train,428,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W003,3,15000,20000,d12_01e19f08160eda:15000:20000
D12_STRICT_0000016,task1,train,429,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W004,4,20000,25000,d12_01e19f08160eda:20000:25000
D12_STRICT_0000017,task1,train,430,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W005,5,25000,30000,d12_01e19f08160eda:25000:30000
D12_STRICT_0000018,task1,train,431,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W006,6,30000,35000,d12_01e19f08160eda:30000:35000
D12_STRICT_0000019,task1,train,432,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W007,7,35000,40000,d12_01e19f08160eda:35000:40000
D12_STRICT_0000020,task1,train,433,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W008,8,40000,45000,d12_01e19f08160eda:40000:45000
D12_STRICT_0000021,task1,train,434,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W009,9,45000,50000,d12_01e19f08160eda:45000:50000
D12_STRICT_0000022,task1,train,435,HNU11052,d12_01e19f08160eda,TASK1_35b1957271f88a_W010,10,50000,55000,d12_01e19f08160eda:50000:55000
D12_STRICT_0000023,task2,train,515,HNU11052,d12_01e19f08160eda,TASK2_6e8b2eb3360c06_W011,11,55000,60000,d12_01e19f08160eda:55000:60000
D12_STRICT_0000024,task1,train,392,HNU11007,d12_05cc77f8a61e6e,TASK1_f17028e6a4c09a_W000,0,0,5000,d12_05cc77f8a61e6e:0:5000
D12_STRICT_0000025,task1,train,393,HNU11007,d12_05cc77f8a61e6e,TASK1_f17028e6a4c09a_W001,1,5000,10000,d12_05cc77f8a61e6e:5000:10000
D12_STRICT_0000026,task1,train,225,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W002,2,10000,15000,d12_05cc77f8a61e6e:10000:15000
D12_STRICT_0000027,task1,train,226,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W003,3,15000,20000,d12_05cc77f8a61e6e:15000:20000
D12_STRICT_0000028,task1,train,396,HNU11007,d12_05cc77f8a61e6e,TASK1_f17028e6a4c09a_W004,4,20000,25000,d12_05cc77f8a61e6e:20000:25000
D12_STRICT_0000029,task1,train,397,HNU11007,d12_05cc77f8a61e6e,TASK1_f17028e6a4c09a_W005,5,25000,30000,d12_05cc77f8a61e6e:25000:30000
D12_STRICT_0000030,task1,train,227,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W006,6,30000,35000,d12_05cc77f8a61e6e:30000:35000
D12_STRICT_0000031,task1,train,228,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W007,7,35000,40000,d12_05cc77f8a61e6e:35000:40000
D12_STRICT_0000032,task1,train,229,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W008,8,40000,45000,d12_05cc77f8a61e6e:40000:45000
D12_STRICT_0000033,task1,train,230,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W009,9,45000,50000,d12_05cc77f8a61e6e:45000:50000
D12_STRICT_0000034,task1,train,231,HNU11007,d12_05cc77f8a61e6e,TASK1_5338d73176afd2_W010,10,50000,55000,d12_05cc77f8a61e6e:50000:55000
D12_STRICT_0000035,task2,train,71,HNU11007,d12_05cc77f8a61e6e,TASK2_249d14007989c3_W011,11,55000,60000,d12_05cc77f8a61e6e:55000:60000
D12_STRICT_0000036,task1,train,403,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W000,0,0,5000,d12_076ea5daed5473:0:5000
D12_STRICT_0000037,task1,train,404,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W001,1,5000,10000,d12_076ea5daed5473:5000:10000
D12_STRICT_0000038,task1,train,405,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W002,2,10000,15000,d12_076ea5daed5473:10000:15000
D12_STRICT_0000039,task1,train,406,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W003,3,15000,20000,d12_076ea5daed5473:15000:20000
D12_STRICT_0000040,task1,train,407,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W004,4,20000,25000,d12_076ea5daed5473:20000:25000
D12_STRICT_0000041,task1,train,408,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W005,5,25000,30000,d12_076ea5daed5473:25000:30000
D12_STRICT_0000042,task1,train,409,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W006,6,30000,35000,d12_076ea5daed5473:30000:35000
D12_STRICT_0000043,task1,train,410,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W007,7,35000,40000,d12_076ea5daed5473:35000:40000
D12_STRICT_0000044,task1,train,411,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W008,8,40000,45000,d12_076ea5daed5473:40000:45000
D12_STRICT_0000045,task1,train,412,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W009,9,45000,50000,d12_076ea5daed5473:45000:50000
D12_STRICT_0000046,task1,train,413,HNU11063,d12_076ea5daed5473,TASK1_a050a3ba70982e_W010,10,50000,55000,d12_076ea5daed5473:50000:55000
D12_STRICT_0000047,task2,train,575,HNU11063,d12_076ea5daed5473,TASK2_6e333378aa70b1_W011,11,55000,60000,d12_076ea5daed5473:55000:60000
D12_STRICT_0000048,task1,train,182,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W000,0,0,5000,d12_0a5d33eea70d46:0:5000
D12_STRICT_0000049,task1,train,183,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W001,1,5000,10000,d12_0a5d33eea70d46:5000:10000
D12_STRICT_0000050,task1,train,184,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W002,2,10000,15000,d12_0a5d33eea70d46:10000:15000
D12_STRICT_0000051,task1,train,185,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W003,3,15000,20000,d12_0a5d33eea70d46:15000:20000
D12_STRICT_0000052,task1,train,186,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W004,4,20000,25000,d12_0a5d33eea70d46:20000:25000
D12_STRICT_0000053,task1,train,187,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W005,5,25000,30000,d12_0a5d33eea70d46:25000:30000
D12_STRICT_0000054,task1,train,188,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W006,6,30000,35000,d12_0a5d33eea70d46:30000:35000
D12_STRICT_0000055,task1,train,189,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W007,7,35000,40000,d12_0a5d33eea70d46:35000:40000
D12_STRICT_0000056,task1,train,190,HNU11065,d12_0a5d33eea70d46,TASK1_ccea4f84d227e2_W008,8,40000,45000,d12_0a5d33eea70d46:40000:45000
