experiment,task,route,data_variant,loss_variant,best_epoch,E1_official_r,E1_mean_rmse_uV,E2_copy_r,E2_copy_mean_rmse_uV,centered_diagnostic_r,task2_missing_v1_v6_rmse_uV
B1_T1_A_L0,task1,A,A,L0,94,0.0048066807362250035,574.7765668107688,0.0037683176431565373,575.6792553274778,-0.0007689340996012862,nan
B1_T1_A_L1,task1,A,A,L1,40,0.007385825846673549,558.9116720663006,0.006601225724920854,560.2440200395766,0.0021407431880632864,nan
B1_T1_B_L0,task1,B,A,L0,91,0.009693261717218122,558.4118187252141,0.00886249991498752,560.475775390518,0.0017427523142340721,nan
B1_T1_B_L1,task1,B,A,L1,91,0.008761787598360266,559.1377869645589,0.007891365713677177,561.6272275355499,0.001758685643915436,nan
B1_T1_C1,task1,C1,A,fixed_rpeak_pseudo,88,0.007542801833963384,555.5001881959976,0.00652060947732298,558.2667249501853,0.0031883244580582313,nan
B1_T1_C2,task1,C2,A,fixed_rpeak_pseudo,61,0.009718019760199469,559.8487645497884,0.008682123261297298,562.6464999416254,0.0042404696138419054,nan
B1_T2_AA_L0,task2,A,A,L0,72,0.017906988200402135,828.9758569579691,0.015534283532008558,18155.34286728369,0.008732703195427368,1054.2840665313074
B1_T2_AA_L1,task2,A,A,L1,53,0.012735026425770285,704.845031146766,0.014464601970459892,18064.674168494323,0.006919708938104279,872.9466689525817
B1_T2_AB_L0,task2,B,A,L0,100,0.008274363462805119,703.312129748227,0.011858408435759908,18051.1657417845,0.0069078517314033775,845.9298155329307
B1_T2_AB_L1,task2,B,A,L1,33,0.006081168108261416,611.3929171217972,0.008442536488529155,18050.858470583888,0.006732205612235188,845.3152731317076
B1_T2_BA_L0,task2,A,B,L0,72,0.0003571644954900091,633.6516323644719,0.050478042160618374,657.7965391063335,0.004031290582103172,906.0158906461074
B1_T2_BA_L1,task2,A,B,L1,6,0.005160272425684558,586.8462379735278,0.0519208397339987,641.1380045063306,0.005632595241533589,872.6988214461015
B1_T2_BB_L0,task2,B,B,L0,74,-0.0018429709581942108,593.4204186822158,0.04859743020192447,629.780606725315,0.0034793890700176903,849.9840258840703
B1_T2_BB_L1,task2,B,B,L1,76,-0.0023532466357386976,584.6713037405106,0.04805123617179415,631.157914076478,0.003968659457076603,852.7386405863963
