experiment,evaluation,scope,input_type,aggregation,n_subjects,n_windows,twelve_lead_mean_pearson_r,twelve_lead_mean_rmse_uV,generated_v1_v6_mean_pearson_r,generated_v1_v6_mean_rmse_uV
B1_T2_AA_L0,E1_raw,device,body_scale_d6,subject_macro,5,60,0.02860436848994339,1228.672001527441,0.04088704944804554,1429.840219164577
B1_T2_AA_L0,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.00451616617293373,535.5896969067843,0.0005554056953077026,792.7687416838423
B1_T2_AA_L0,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,0.007649365585918807,34597.100390070926,0.04088704944804554,1429.840219164577
B1_T2_AA_L0,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.006748086162494599,577.3803857876228,0.0005554056953077026,792.7687416838423
B1_T2_AA_L1,E1_raw,device,body_scale_d6,subject_macro,5,60,0.01590711976342522,847.2577620813305,0.01747497871516592,825.6633517517255
B1_T2_AA_L1,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.00687774115513448,541.0396732295569,0.004911849506774735,797.7044051416682
B1_T2_AA_L1,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,-0.004056669780520999,34295.01195636449,0.01747497871516592,825.6633517517255
B1_T2_AA_L1,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.008926308068228115,579.8482175165357,0.004911849506774735,797.7044051416682
B1_T2_AB_L0,E1_raw,device,body_scale_d6,subject_macro,5,60,0.00788927696823334,853.9840168545539,0.008233909429380315,797.6028575553814
B1_T2_AB_L0,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.004174303510885109,524.5022094891469,-0.0005078551445011809,762.8666971995725
B1_T2_AB_L0,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,-0.008677204423413808,34280.98170926633,0.008233909429380315,797.6028575553814
B1_T2_AB_L0,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.0062164557425901535,562.4293635454878,-0.0005078551445011809,762.8666971995725
B1_T2_AB_L1,E1_raw,device,body_scale_d6,subject_macro,5,60,-0.010306168478872568,653.3113885155232,-0.027524477551190724,774.3220954045771
B1_T2_AB_L1,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.007359884429907723,525.425400130761,0.004660093608647423,768.795788768682
B1_T2_AB_L1,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,-0.026556397913699327,34269.341328190916,-0.027524477551190724,774.3220954045771
B1_T2_AB_L1,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.008800430119164456,565.3939093300426,0.004660093608647423,768.795788768682
B1_T2_BA_L0,E1_raw,device,body_scale_d6,subject_macro,5,60,0.0013814523361438656,710.7527925330638,0.016982659918909977,953.9017091478797
B1_T2_BA_L0,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.0052737907639991205,548.862311983831,0.00042105368003927815,806.50877285103
B1_T2_BA_L0,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,0.005432211962932558,713.3775639761742,0.016982659918909977,953.9017091478797
B1_T2_BA_L0,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.006680910154860384,584.2504013712166,0.00042105368003927815,806.50877285103
B1_T2_BA_L1,E1_raw,device,body_scale_d6,subject_macro,5,60,0.00959431035969032,559.3492675425075,0.01912128188803262,814.7082445442935
B1_T2_BA_L1,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.0062941742069979505,542.7680776509517,0.008316237594217764,801.0797254069706
B1_T2_BA_L1,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,0.006501522947493883,643.7808316743809,0.01912128188803262,814.7082445442935
B1_T2_BA_L1,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.010628502111949626,581.5358776491869,0.008316237594217764,801.0797254069706
B1_T2_BB_L0,E1_raw,device,body_scale_d6,subject_macro,5,60,-0.01933960173854945,604.9213641420768,-0.02503500905723962,803.5257010551838
B1_T2_BB_L0,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.0032289922597341356,526.7555363197198,-0.002288800379339579,766.4609892119512
B1_T2_BB_L0,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,-0.015576622525142239,638.189559929826,-0.02503500905723962,803.5257010551838
B1_T2_BB_L0,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.005325983125170952,564.2265095516773,-0.002288800379339579,766.4609892119512
B1_T2_BB_L1,E1_raw,device,body_scale_d6,subject_macro,5,60,-0.01718140494891931,573.1797677754064,-0.02240919196501032,791.2370166757912
B1_T2_BB_L1,E1_raw,device,ecg_machine_d6,subject_macro,20,240,0.0035360785211687013,528.9415910711858,-0.0008995283727644063,772.3832315691697
B1_T2_BB_L1,E2_copy_at_eval,device,body_scale_d6,subject_macro,5,60,-0.014263713979027587,632.0452177401296,-0.02240919196501032,791.2370166757912
B1_T2_BB_L1,E2_copy_at_eval,device,ecg_machine_d6,subject_macro,20,240,0.006020619128458542,567.1876307302863,-0.0008995283727644063,772.3832315691697
