experiment,task,route,data_variant,loss,best_epoch,best_official_r,device
B1_T1_A_L0,task1,A,A,L0,8,0.0042008439601770855,cuda
B1_T1_A_L1,task1,A,A,L1,16,0.00890180943842701,cuda
B1_T1_B_L0,task1,B,A,L0,100,0.01242554491016292,cuda
B1_T1_B_L1,task1,B,A,L1,22,0.007646957496499462,cuda
B1_T1_C1_L0,task1,C1,A,L0,42,0.01283950387126242,cuda
B1_T1_C1_L1,task1,C1,A,L1,92,0.011300459387196865,cuda
B1_T1_C2_L0,task1,C2,A,L0,96,0.011532409710015129,cuda
B1_T1_C2_L1,task1,C2,A,L1,60,0.011519744778918541,cuda
B1_T2_AA_L0,task2,A,A,L0,91,0.018074869250148402,cuda
B1_T2_AA_L1,task2,A,A,L1,4,0.012415817081414995,cuda
B1_T2_AB_L0,task2,B,A,L0,98,0.0038969367095457673,cuda
B1_T2_AB_L1,task2,B,A,L1,86,0.009050393117978164,cuda
B1_T2_BA_L0,task2,A,B,L0,18,0.011340336670741047,cuda
B1_T2_BA_L1,task2,A,B,L1,11,0.021510738436357067,cuda
B1_T2_BB_L0,task2,B,B,L0,98,-0.0032558039979724306,cuda
B1_T2_BB_L1,task2,B,B,L1,2,-0.004220270178967439,cuda
